시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,폐교여부,폐교일자,휴교여부
교육부,교육부,부산광역시 연제구,S000003559,부산교육대학교부설초등학교,02,국립,,N,부설,주간,19600516,19600516,2647010100,부산광역시 연제구 거제1동,87-2.,611736,47503,부산광역시 연제구 교대로 24,(거제동),35.195061,129.0743159,051-550-2800,051-505-9122,http://es.bnue.ac.kr,남녀공학,N,,N
부산광역시교육청,부산광역시서부교육지원청,부산광역시 중구,S020000625,광일초등학교,02,공립,,N,단설,주간,19980901,19980901,2611011900,부산광역시 중구 대청동4가,광일초등학교.,600801,48933,부산광역시 중구 중구로 74,(대청동4가),35.10384226,129.0298049,051-603-5000,051-603-5119,www.gwangil.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시서부교육지원청,부산광역시 중구,S020000626,남성초등학교,02,사립,,N,단설,주간,19620310,19620310,2611011600,부산광역시 중구 대청동1가,남성초등학교.,600091,48926,부산광역시 중구 샘길 14,(대청동1가),35.10433803,129.0330237,051-469-7963,051-469-7965,www.nisb.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000628,대남초등학교,02,공립,,N,단설,주간,20010301,20010301,2629010600,부산광역시 남구 대연동,대남초등학교.,608020,48428,부산광역시 남구 황령대로 343번길 9-55,"(대연동, 대남초등학교)",35.14881842,129.0975819,051-622-9434,051-633-9436,http://daenam.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000629,대연초등학교,02,공립,,N,단설,주간,19290401,19290401,2629010600,부산광역시 남구 대연5동  289-15번지,대연초등학교.,608807,48441,부산광역시 남구 진남로18번길 11,"(대연동, 대연초등학교)",35.13734227,129.0923661,051-610-7600,051-627-6494,www.daeyeon.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000630,대천초등학교,02,공립,,N,단설,주간,19800510,19800510,2629010600,부산광역시 남구 대연3동,567-1번지(유엔공원길 16).,608023,48529,부산광역시 남구 조각공원로 19,"(대연동, 대천초등학교)",35.1291111,129.1001256,051-622-3101,051-625-8291,http://www.daechon.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000632,동일중앙초등학교,02,공립,,N,단설,주간,19960420,19960420,2617010200,부산광역시 동구 수정1동   1073-1번지,동일중앙초등학교.,601814,48799,부산광역시 동구 구봉로 46,"(수정동,동일중앙초등학교)",35.12474751,129.0371176,051-460-0100,051-460-0118,http://dongiljungang.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000633,동천초등학교,02,공립,,N,단설,주간,19810527,19810527,2629011100,부산광역시 남구 감만1동   78번지,동천초등학교.,608801,48542,부산광역시 남구 석포로26번길 22,", 동천초등학교 (감만동, 동천초등학교)",35.12149315,129.0836589,051-644-2853,051-644-4414,https://school.busanedu.net/dong-cheon-e/main.do,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000634,동항초등학교,02,공립,,N,단설,주간,19390413,19390413,2629011100,부산광역시 남구 감만1동   315번지,동항초등학교.,608801,48551,부산광역시 남구 우암로 42,"(감만동, 동항초등학교)",35.11473056,129.0826783,051-643-8236,051-647-7995,http://donghang.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000635,문현초등학교,02,공립,,N,병설,주간,19661028,19661028,2629010900,부산광역시 남구 문현1동,12-1번지.,608820,48409,부산광역시 남구 고동골로 86-13,"(문현동, 문현초등학교)",35.1453177,129.072912,051-646-8565,051-647-4707,https://school.busanedu.net/moonhyun-e,남녀공학,N,,N
